user_id,user_segment,veg_preference,avg_order_value,order_frequency,preferred_cuisine,city
1,budget,non_veg,273.69304168724113,low,Biryani,Bangalore
2,budget,non_veg,318.4225061632877,low,Chinese,Hyderabad
3,budget,non_veg,251.11109133059915,low,Chinese,Hyderabad
4,budget,non_veg,228.61035431983274,low,Chinese,Mumbai
5,regular,non_veg,389.97461498940885,low,Italian,Delhi
6,budget,non_veg,297.37199105233196,low,Chinese,Hyderabad
7,premium,veg,831.3295392507133,high,Fast Food,Hyderabad
8,budget,non_veg,152.01649380601123,high,Italian,Hyderabad
9,regular,non_veg,349.09146571348924,low,Continental,Chennai
10,regular,non_veg,291.67057864631124,medium,Desserts,Hyderabad
11,budget,veg,279.10613973565194,medium,North Indian,Mumbai
12,regular,non_veg,538.7748459593357,low,Biryani,Delhi
13,premium,non_veg,773.3401818094018,medium,Chinese,Mumbai
14,regular,veg,408.96166913136994,medium,Continental,Bangalore
15,premium,non_veg,1024.315137932521,high,Desserts,Pune
16,regular,veg,483.818125199332,low,Biryani,Hyderabad
17,budget,non_veg,239.01640560812442,low,Italian,Hyderabad
18,premium,non_veg,853.5668857267619,medium,South Indian,Bangalore
19,regular,veg,475.71168700562794,low,Beverages,Pune
20,budget,non_veg,265.7256447931586,low,Desserts,Chennai
21,regular,veg,184.482395243653,low,Chinese,Pune
22,budget,veg,267.2758971944383,low,Pizza,Bangalore
23,regular,non_veg,365.3982983544294,medium,Chinese,Mumbai
24,budget,veg,208.87553156099688,low,South Indian,Mumbai
25,regular,veg,573.7016072936461,medium,Continental,Pune
26,budget,non_veg,178.6760557637224,medium,Pizza,Kolkata
27,budget,non_veg,320.2602652939094,medium,North Indian,Pune
28,budget,non_veg,319.6162876745951,medium,Italian,Pune
29,budget,non_veg,213.98510035705934,high,Pizza,Bangalore
30,budget,non_veg,236.50331154621546,medium,Desserts,Mumbai
31,budget,non_veg,198.61445679557556,low,Desserts,Chennai
32,regular,veg,524.1240635045218,low,Continental,Mumbai
33,premium,non_veg,944.7215873492653,high,Italian,Mumbai
34,premium,non_veg,640.2753270705491,low,Pizza,Hyderabad
35,regular,non_veg,467.48330119914715,medium,Desserts,Chennai
36,budget,veg,189.15725538203804,low,Italian,Chennai
37,budget,non_veg,291.10300799972447,low,Chinese,Bangalore
